weight_update,train_pairwise_ranking_loss,test_pairwise_ranking_loss,iterations_done,resumed_from,epoch_interrupt_received,received_first_batch,epochs_done,training_started,batch_interrupt_received,epoch_started
0,51.12001037597656,49.928043365478516,,,,,,,,
647,50.98963165283203,50.49724197387695,647.0,,False,True,1.0,True,False,False
1294,14.87233829498291,15.3060302734375,1294.0,,False,True,2.0,True,False,False
1941,7.925323486328125,8.056572914123535,1941.0,,False,True,3.0,True,False,False
2588,5.974294185638428,6.392973899841309,2588.0,,False,True,4.0,True,False,False
3235,5.067571640014648,5.280273914337158,3235.0,,False,True,5.0,True,False,False
3882,4.403242588043213,4.497541427612305,3882.0,,False,True,6.0,True,False,False
4529,4.103293418884277,4.296561241149902,4529.0,,False,True,7.0,True,False,False
5176,3.8043782711029053,4.095035552978516,5176.0,,False,True,8.0,True,False,False
5823,3.5903048515319824,4.530948638916016,5823.0,,False,True,9.0,True,False,False
6470,3.3747715950012207,4.119302272796631,6470.0,,False,True,10.0,True,False,False
7117,3.302947759628296,3.8223869800567627,7117.0,,False,True,11.0,True,False,False
7764,3.1348280906677246,3.0250585079193115,7764.0,,False,True,12.0,True,False,False
8411,2.894465446472168,3.4874966144561768,8411.0,,False,True,13.0,True,False,False
9058,2.866492986679077,3.53560471534729,9058.0,,False,True,14.0,True,False,False
9705,2.8050694465637207,3.143859624862671,9705.0,,False,True,15.0,True,False,False
10352,2.680962562561035,3.5301263332366943,10352.0,,False,True,16.0,True,False,False
10999,2.5427238941192627,2.4509963989257812,10999.0,,False,True,17.0,True,False,False
11646,2.3954126834869385,2.840097665786743,11646.0,,False,True,18.0,True,False,False
12293,2.471461057662964,2.9328973293304443,12293.0,,False,True,19.0,True,False,False
12940,2.397876024246216,2.477539539337158,12940.0,,False,True,20.0,True,False,False
13587,2.3529739379882812,3.560716152191162,13587.0,,False,True,21.0,True,False,False
14234,2.298642873764038,2.7100841999053955,14234.0,,False,True,22.0,True,False,False
14881,2.2350611686706543,2.9405229091644287,14881.0,,False,True,23.0,True,False,False
15528,2.1428229808807373,2.9611730575561523,15528.0,,False,True,24.0,True,False,False
16175,2.184720277786255,3.3951094150543213,16175.0,,False,True,25.0,True,False,False
16822,2.1005771160125732,2.9735348224639893,16822.0,,False,True,26.0,True,False,False
17469,2.0926361083984375,2.7806246280670166,17469.0,,False,True,27.0,True,False,False
18116,2.045351505279541,2.8234920501708984,18116.0,,False,True,28.0,True,False,False
18763,2.1042351722717285,2.61187744140625,18763.0,,False,True,29.0,True,False,False
19410,1.9572385549545288,2.5646512508392334,19410.0,,False,True,30.0,True,False,False
20057,1.9890409708023071,2.5299293994903564,20057.0,,False,True,31.0,True,False,False
20704,1.9655404090881348,2.7136199474334717,20704.0,,False,True,32.0,True,False,False
21351,1.882655143737793,2.5919079780578613,21351.0,,False,True,33.0,True,False,False
21998,1.8650745153427124,2.67301607131958,21998.0,,False,True,34.0,True,False,False
22645,1.851942777633667,2.3223941326141357,22645.0,,False,True,35.0,True,False,False
23292,1.8538225889205933,2.383049488067627,23292.0,,False,True,36.0,True,False,False
23939,1.8413766622543335,2.58420729637146,23939.0,,False,True,37.0,True,False,False
24586,1.752732276916504,2.7353670597076416,24586.0,,False,True,38.0,True,False,False
25233,1.7509154081344604,2.625342845916748,25233.0,,False,True,39.0,True,False,False
25880,1.7378613948822021,2.5785932540893555,25880.0,,False,True,40.0,True,False,False
26527,1.764178991317749,2.4698901176452637,26527.0,,False,True,41.0,True,False,False
27174,1.6665010452270508,2.3067994117736816,27174.0,,False,True,42.0,True,False,False
27821,1.6916654109954834,2.442342519760132,27821.0,,False,True,43.0,True,False,False
28468,1.6995854377746582,2.2706573009490967,28468.0,,False,True,44.0,True,False,False
29115,1.7257896661758423,2.463444948196411,29115.0,,False,True,45.0,True,False,False
29762,1.6445138454437256,2.1789069175720215,29762.0,,False,True,46.0,True,False,False
30409,1.6225178241729736,2.55185604095459,30409.0,,False,True,47.0,True,False,False
31056,1.649090051651001,2.637335777282715,31056.0,,False,True,48.0,True,False,False
31703,1.5868217945098877,2.6403071880340576,31703.0,,False,True,49.0,True,False,False
32350,1.5457611083984375,2.2069802284240723,32350.0,,False,True,50.0,True,False,False
32997,1.5319403409957886,2.0209407806396484,32997.0,,False,True,51.0,True,False,False
33644,1.5841706991195679,2.447582721710205,33644.0,,False,True,52.0,True,False,False
34291,1.526656985282898,1.8466391563415527,34291.0,,False,True,53.0,True,False,False
34938,1.5303791761398315,2.4616944789886475,34938.0,,False,True,54.0,True,False,False
35585,1.5545226335525513,2.5392568111419678,35585.0,,False,True,55.0,True,False,False
36232,1.5239622592926025,2.394648313522339,36232.0,,False,True,56.0,True,False,False
36879,1.4781352281570435,2.4337515830993652,36879.0,,False,True,57.0,True,False,False
37526,1.4949530363082886,2.362727642059326,37526.0,,False,True,58.0,True,False,False
38173,1.4798200130462646,2.6312077045440674,38173.0,,False,True,59.0,True,False,False
38820,1.4206628799438477,2.6238973140716553,38820.0,,False,True,60.0,True,False,False
39467,1.4658390283584595,1.8430079221725464,39467.0,,False,True,61.0,True,False,False
40114,1.5404527187347412,2.4342408180236816,40114.0,,False,True,62.0,True,False,False
40761,1.425878882408142,2.074286460876465,40761.0,,False,True,63.0,True,False,False
41408,1.4328315258026123,2.8930060863494873,41408.0,,False,True,64.0,True,False,False
42055,1.4102075099945068,2.175032377243042,42055.0,,False,True,65.0,True,False,False
42702,1.3576606512069702,2.294731855392456,42702.0,,False,True,66.0,True,False,False
43349,1.3739526271820068,1.8048850297927856,43349.0,,False,True,67.0,True,False,False
43996,1.4016755819320679,2.72501540184021,43996.0,,False,True,68.0,True,False,False
44643,1.3809279203414917,2.609994888305664,44643.0,,False,True,69.0,True,False,False
45290,1.36440110206604,2.654099464416504,45290.0,,False,True,70.0,True,False,False
45937,1.3993617296218872,2.416533946990967,45937.0,,False,True,71.0,True,False,False
46584,1.3817636966705322,2.1262807846069336,46584.0,,False,True,72.0,True,False,False
47231,1.41094970703125,2.4497995376586914,47231.0,,False,True,73.0,True,False,False
47878,1.3639202117919922,2.2407453060150146,47878.0,,False,True,74.0,True,False,False
48525,1.3694955110549927,2.5538854598999023,48525.0,,False,True,75.0,True,False,False
49172,1.3285210132598877,2.5789308547973633,49172.0,,False,True,76.0,True,False,False
49819,1.3347493410110474,2.4011707305908203,49819.0,,False,True,77.0,True,False,False
50466,1.2797260284423828,2.4656550884246826,50466.0,,False,True,78.0,True,False,False
51113,1.260951042175293,2.481170177459717,51113.0,,False,True,79.0,True,False,False
51760,1.343372106552124,2.7921483516693115,51760.0,,False,True,80.0,True,False,False
52407,1.2835707664489746,2.206742763519287,52407.0,,False,True,81.0,True,False,False
53054,1.2721638679504395,2.4323174953460693,53054.0,,False,True,82.0,True,False,False
53701,1.295448899269104,2.570263385772705,53701.0,,False,True,83.0,True,False,False
54348,1.2843108177185059,2.2415049076080322,54348.0,,False,True,84.0,True,False,False
54995,1.2817481756210327,2.41607928276062,54995.0,,False,True,85.0,True,False,False
55642,1.2660495042800903,2.067223072052002,55642.0,,False,True,86.0,True,False,False
56289,1.2901341915130615,2.132571220397949,56289.0,,False,True,87.0,True,False,False
56936,1.2096691131591797,2.2322611808776855,56936.0,,False,True,88.0,True,False,False
57583,1.3032091856002808,1.5163309574127197,57583.0,,False,True,89.0,True,False,False
58230,1.2245904207229614,1.7185981273651123,58230.0,,False,True,90.0,True,False,False
58877,1.2559014558792114,2.109125852584839,58877.0,,False,True,91.0,True,False,False
59524,1.1994372606277466,2.12589430809021,59524.0,,False,True,92.0,True,False,False
60171,1.1955772638320923,2.497115135192871,60171.0,,False,True,93.0,True,False,False
60818,1.2286282777786255,2.5739543437957764,60818.0,,False,True,94.0,True,False,False
61465,1.2166619300842285,2.003098249435425,61465.0,,False,True,95.0,True,False,False
62112,1.1894052028656006,2.225813627243042,62112.0,,False,True,96.0,True,False,False
62759,1.1839712858200073,2.119150400161743,62759.0,,False,True,97.0,True,False,False
63406,1.2090951204299927,2.2601544857025146,63406.0,,False,True,98.0,True,False,False
64053,1.2076835632324219,2.4157989025115967,64053.0,,False,True,99.0,True,False,False
64700,1.1268333196640015,2.2920024394989014,64700.0,,False,True,100.0,True,False,False
65347,1.1661882400512695,2.111433506011963,65347.0,,False,True,101.0,True,False,False
65994,1.1861737966537476,2.29325008392334,65994.0,,False,True,102.0,True,False,False
66641,1.192801833152771,2.389469861984253,66641.0,,False,True,103.0,True,False,False
67288,1.1709339618682861,2.135199785232544,67288.0,,False,True,104.0,True,False,False
67935,1.1454896926879883,2.383124828338623,67935.0,,False,True,105.0,True,False,False
68582,1.144734501838684,2.3597495555877686,68582.0,,False,True,106.0,True,False,False
69229,1.1919267177581787,2.4459619522094727,69229.0,,False,True,107.0,True,False,False
69876,1.1604855060577393,2.6778316497802734,69876.0,,False,True,108.0,True,False,False
70321,,,,,True,,,,,
70523,1.1290844678878784,2.132883071899414,70523.0,,True,True,109.0,True,False,False
